name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
complexe cours du soir namalgué,school,Burkina Faso,BFA,HOTOSM/OSM,12.337137,-1.533352,,,private
Collège des Jeunes Filles de Loumbila,school,Burkina Faso,BFA,HOTOSM/OSM,12.489503,-1.403587,,,community
Jokkolabs Ouagadougou,college,Burkina Faso,BFA,HOTOSM/OSM,12.353762,-1.522504,,,private
Ecole Primaire Publique de Gonfrèra,school,Burkina Faso,BFA,HOTOSM/OSM,10.517362,-3.299142,,,public
Ecole Primaire Publique de Djégonao,school,Burkina Faso,BFA,HOTOSM/OSM,10.535307,-3.365899,,,public
Jardin d'enfants,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,11.076066,-5.299762,school,,
École primaire Tarwende,school,Burkina Faso,BFA,HOTOSM/OSM,12.336617,-1.540146,,,private
,school,Burkina Faso,BFA,HOTOSM/OSM,12.318349,-1.519203,,,
Ecole La Savane,school,Burkina Faso,BFA,HOTOSM/OSM,12.331121,-1.546293,,,community
Lycée privé Millenium plus,school,Burkina Faso,BFA,HOTOSM/OSM,12.330523,-1.549028,,,private
,school,Burkina Faso,BFA,HOTOSM/OSM,12.334734,-1.534227,,,public
Institut d'Application et de Vulgarisation en Sciences,college,Burkina Faso,BFA,HOTOSM/OSM,12.334765,-1.538247,,,private
Complexe scolaire Saint-Laurent Remaria,school,Burkina Faso,BFA,HOTOSM/OSM,12.339547,-1.539258,,,private
,,Burkina Faso,BFA,HOTOSM/OSM,12.333968,-1.495444,school,,
Instutit Africain de Management,school,Burkina Faso,BFA,HOTOSM/OSM,12.327015,-1.502093,,,
Groupe ESCO IGES,college,Burkina Faso,BFA,HOTOSM/OSM,12.346184,-1.550308,,,private
lycée Nouvel Saint Florent,school,Burkina Faso,BFA,HOTOSM/OSM,12.394063,-1.581673,,,private
Groupe scolaire le lauréat,school,Burkina Faso,BFA,HOTOSM/OSM,12.383033,-1.55154,,,private
Complexe scolaire l'Avenir,school,Burkina Faso,BFA,HOTOSM/OSM,12.307142,-1.616785,,,private
Lycée Dimdolossom,school,Burkina Faso,BFA,HOTOSM/OSM,12.37756,-1.535703,,,
Wend Penga,school,Burkina Faso,BFA,HOTOSM/OSM,12.252222,-2.388801,,,private
Ecole Normale Supérieure de Koudougou,college,Burkina Faso,BFA,HOTOSM/OSM,12.242825,-2.396281,yes,,
Ecole C,school,Burkina Faso,BFA,HOTOSM/OSM,12.487852,1.522384,public,,
Centre d'éveil et d'éducation préscolaire privé,school,Burkina Faso,BFA,HOTOSM/OSM,12.3779,-1.543028,,,private
Lycée Schorge,school,Burkina Faso,BFA,HOTOSM/OSM,12.217468,-2.378597,,,
Ecolre primaire Ste Thérèse de l'enfant Jesus,school,Burkina Faso,BFA,HOTOSM/OSM,12.383961,-1.544934,,,private
Ecole maternelle primaire EL-OLAM,school,Burkina Faso,BFA,HOTOSM/OSM,12.3748,-1.540566,,,private
"Les Tout-Petits ""B""",school,Burkina Faso,BFA,HOTOSM/OSM,12.385237,-1.539049,,,private
Ecole fraco arabe Sadakatou Al Islamiya,school,Burkina Faso,BFA,HOTOSM/OSM,12.384012,-1.534363,,,private
Boblawendé,school,Burkina Faso,BFA,HOTOSM/OSM,12.373696,-1.551274,,,private
Lycée privé Noureine,school,Burkina Faso,BFA,HOTOSM/OSM,12.371254,-1.557902,,,private
Collège de l'avenir Saint Michel de Ouaga,school,Burkina Faso,BFA,HOTOSM/OSM,12.373662,-1.544975,,,private
Groupe Scolaire la Roseraie,school,Burkina Faso,BFA,HOTOSM/OSM,12.348394,-1.531298,,,private
Ecole primaire de Todiam,school,Burkina Faso,BFA,HOTOSM/OSM,13.690069,-2.143808,school,,
,university,Burkina Faso,BFA,HOTOSM/OSM,12.394403,-1.502267,,,
Institut Burkinabè des Arts et Métiers,university,Burkina Faso,BFA,HOTOSM/OSM,12.40778,-1.497337,,,public
Lycée privé Les élites,school,Burkina Faso,BFA,HOTOSM/OSM,11.134192,0.024113,,,private
Lycée de Cinkansé,school,Burkina Faso,BFA,HOTOSM/OSM,11.13335,0.019387,,,public
Centre d'éveil et d'éducation préscolaire,school,Burkina Faso,BFA,HOTOSM/OSM,12.348032,-1.498473,,,
Ecole Dassasgo B,school,Burkina Faso,BFA,HOTOSM/OSM,12.389365,-1.468436,,,public
KLD institut/ouaga ET Lycée technique Djedri,college,Burkina Faso,BFA,HOTOSM/OSM,12.349006,-1.489637,,,private
Lycée de Tintilou,school,Burkina Faso,BFA,HOTOSM/OSM,12.20022,-1.814161,,,public
"Institut panafricain d'étude et de recherche sur les médias, l'information et la communication",university,Burkina Faso,BFA,OSM,12.38185,-1.46733,,,
ESMAT Ecole Superieur De management Et Technologie Appliquées,college,Burkina Faso,BFA,HOTOSM/OSM,12.385332,-1.468086,,,private
CEG de Kaya-Tiébélé,school,Burkina Faso,BFA,HOTOSM/OSM,11.065689,-1.022654,,,public
Ecole primaire de Kaya-Kantiolo,school,Burkina Faso,BFA,HOTOSM/OSM,11.058347,-1.018999,,,public
Center Universitaire des Systèmes d'Information Géographiques et de Télédétection Adjaratou,college,Burkina Faso,BFA,HOTOSM/OSM,12.390009,-1.482741,,,private
Complexe scolaire Shalom et savoir (C3S),school,Burkina Faso,BFA,HOTOSM/OSM,12.359393,-1.550828,,,
Ferme Onesime,school,Burkina Faso,BFA,HOTOSM/OSM,12.36052,-1.545871,,,
Compexe Educatif Zoodo,school,Burkina Faso,BFA,HOTOSM/OSM,13.55144,-2.403509,,,association
Ecole Supérieure de Commerce et d’Informatique de Gestion,university,Burkina Faso,BFA,HOTOSM/OSM,12.362001,-1.543933,,,private
Ecole des Jeunes Aveugle de l'ABPAM,school,Burkina Faso,BFA,HOTOSM/OSM,12.356771,-1.549986,,,ngo
Les Flamboyants,school,Burkina Faso,BFA,HOTOSM/OSM,12.354103,-1.540166,,,private
Communal de Diebougou,school,Burkina Faso,BFA,HOTOSM/OSM,10.971201,-3.255285,,,public
Ecole primaire de Touri,school,Burkina Faso,BFA,HOTOSM/OSM,13.395253,-2.642919,yes,,
École Privée Évangélique,school,Burkina Faso,BFA,HOTOSM/OSM,12.201251,-1.80141,,,private
Lycée Wéli,school,Burkina Faso,BFA,HOTOSM/OSM,12.193623,-1.80468,,,private
Ecole de la Croix-Rouge,school,Burkina Faso,BFA,HOTOSM/OSM,12.369106,-1.514775,,,
École,school,Burkina Faso,BFA,HOTOSM/OSM,11.43233,-0.770797,,,
Ecole privée Saint Aloys,school,Burkina Faso,BFA,HOTOSM/OSM,12.362361,-1.55382,,,private
Collège Privé Marguerite Yourcenar,school,Burkina Faso,BFA,HOTOSM/OSM,12.360985,-1.558308,,,private
Les trésors plus,school,Burkina Faso,BFA,HOTOSM/OSM,12.362614,-1.558375,,,private
Ecole privée Piidi les fleurs,school,Burkina Faso,BFA,HOTOSM/OSM,12.363443,-1.556439,,,private
Collège Marie Reine,school,Burkina Faso,BFA,HOTOSM/OSM,11.790164,-0.368715,,,private
Cité A,school,Burkina Faso,BFA,HOTOSM/OSM,11.79688,-0.378686,,,public
Université Nazi Boni,university,Burkina Faso,BFA,OSM,11.20926,-4.41761,,,
Ecole Nasser Hamed,school,Burkina Faso,BFA,HOTOSM/OSM,12.411523,-1.634379,yes,,
Lycée Provincial du Zondoma(LPZ),school,Burkina Faso,BFA,HOTOSM/OSM,13.206604,-2.346002,,,public
Ecole franco-arabe,school,Burkina Faso,BFA,HOTOSM/OSM,12.377054,-0.605993,yes,,
Schule B,school,Burkina Faso,BFA,HOTOSM/OSM,12.023914,-3.615824,house,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.752641,-3.317432,yes,,
Administration du Lycée départemental de Bagassi,college,Burkina Faso,BFA,HOTOSM/OSM,11.752087,-3.317188,yes,,
CEB I,school,Burkina Faso,BFA,HOTOSM/OSM,12.251905,-0.431245,yes,,
,school,Burkina Faso,BFA,HOTOSM/OSM,11.764943,-2.93243,school,,
Salles de classe (LDB),college,Burkina Faso,BFA,HOTOSM/OSM,11.752944,-3.317027,yes,,
La Bénédiction,school,Burkina Faso,BFA,HOTOSM/OSM,12.310648,-1.608411,,,private
Complexe scolaire Saint Ambroise,school,Burkina Faso,BFA,HOTOSM/OSM,12.304178,-1.615773,,,private
Business Intelligence Institute,college,Burkina Faso,BFA,HOTOSM/OSM,12.341927,-1.552731,,,private
Ecole privé elina,school,Burkina Faso,BFA,HOTOSM/OSM,12.355266,-1.553262,,,private
Lycée Professionnel de Bobo,school,Burkina Faso,BFA,HOTOSM/OSM,11.209438,-4.320114,,,public
