name,amenity,country,iso3,source,latitude,longitude,building,addr_city,operator
Institut International d'Ingénierie de l'Eau et de l'Environnement,college,Burkina Faso,BFA,HOTOSM/OSM,12.379233,-1.503213,,,private
Primary School Catholic Saint Paul,school,Burkina Faso,BFA,HOTOSM/OSM,13.067791,-1.081814,,Kaya,
Charis,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.373815,-1.488201,,,private
École primaire publique A - Batiment 1,school,Burkina Faso,BFA,HOTOSM/OSM,12.191894,-2.601504,yes,,
juvenat garçon st camille,school,Burkina Faso,BFA,HOTOSM/OSM,12.375277,-1.490224,,,community
École primaire publique A - Batiment 2,school,Burkina Faso,BFA,HOTOSM/OSM,12.191552,-2.601448,yes,,
Université Saint Thomas d’Aquin (USTA),university,Burkina Faso,BFA,HOTOSM/OSM,12.384025,-1.418425,,Ouagadougou,
Ecole Nationale Des Postes (ENAPOSTE),school,Burkina Faso,BFA,HOTOSM/OSM,12.370328,-1.51426,yes,,
Joyeux bambims,school,Burkina Faso,BFA,HOTOSM/OSM,12.37394,-1.533896,,,private
complexe cours du soir namalgué,school,Burkina Faso,BFA,HOTOSM/OSM,12.337137,-1.533352,,,private
Collège des Jeunes Filles de Loumbila,school,Burkina Faso,BFA,HOTOSM/OSM,12.489503,-1.403587,,,community
Steve Biko,school,Burkina Faso,BFA,HOTOSM/OSM,12.337424,-1.533495,,,public
Jokkolabs Ouagadougou,college,Burkina Faso,BFA,HOTOSM/OSM,12.353762,-1.522504,,,private
Ecole Primaire Publique de Gonfrèra,school,Burkina Faso,BFA,HOTOSM/OSM,10.517362,-3.299142,,,public
Ecole Primaire Publique de Djégonao,school,Burkina Faso,BFA,HOTOSM/OSM,10.535307,-3.365899,,,public
Jardin d'enfants,kindergarten,Burkina Faso,BFA,HOTOSM/OSM,11.076066,-5.299762,school,,
École primaire Tarwende,school,Burkina Faso,BFA,HOTOSM/OSM,12.336617,-1.540146,,,private
Lagem Taaba A et B,school,Burkina Faso,BFA,HOTOSM/OSM,12.318511,-1.519722,,,public
Ecole La Savane,school,Burkina Faso,BFA,HOTOSM/OSM,12.331121,-1.546293,,,community
Lycée privé Millenium plus,school,Burkina Faso,BFA,HOTOSM/OSM,12.330523,-1.549028,,,private
Préscolaire Communautaire Kam Laada (ICCV),kindergarten,Burkina Faso,BFA,HOTOSM/OSM,12.33523,-1.534858,,,private
Institut d'Application et de Vulgarisation en Sciences,college,Burkina Faso,BFA,HOTOSM/OSM,12.334765,-1.538247,,,private
Complexe scolaire Saint-Laurent Remaria,school,Burkina Faso,BFA,HOTOSM/OSM,12.339547,-1.539258,,,private
Lycée Privé Wend-Manegret,school,Burkina Faso,BFA,HOTOSM/OSM,12.334202,-1.495381,,,private
Instutit Africain de Management (IAM),college,Burkina Faso,BFA,HOTOSM/OSM,12.32703,-1.502006,yes,,
Groupe ESCO IGES,college,Burkina Faso,BFA,HOTOSM/OSM,12.346184,-1.550308,,,private
lycée Nouvel Saint Florent,school,Burkina Faso,BFA,HOTOSM/OSM,12.394063,-1.581673,,,private
Groupe scolaire le lauréat,school,Burkina Faso,BFA,HOTOSM/OSM,12.383033,-1.55154,,,private
Complexe scolaire l'Avenir,school,Burkina Faso,BFA,HOTOSM/OSM,12.307142,-1.616785,,,private
"Lycée Privé ""La Compétence""",school,Burkina Faso,BFA,HOTOSM/OSM,12.377896,-1.536084,,,private
Wend Penga,school,Burkina Faso,BFA,HOTOSM/OSM,12.252222,-2.388801,,,private
Ecole Normale Supérieure de Koudougou,college,Burkina Faso,BFA,HOTOSM/OSM,12.242825,-2.396281,yes,,
Ecole C,school,Burkina Faso,BFA,HOTOSM/OSM,12.487852,1.522384,public,,
Collège Savoir Plus annexe 1200 logements,school,Burkina Faso,BFA,HOTOSM/OSM,12.378689,-1.543268,,,private
Burkina Institute of Technology,college,Burkina Faso,BFA,HOTOSM/OSM,12.218197,-2.378456,yes,,
Centre d'éveil et d'éducation préscolaire privé,school,Burkina Faso,BFA,HOTOSM/OSM,12.3779,-1.543028,,,private
Ecolre primaire Ste Thérèse de l'enfant Jesus,school,Burkina Faso,BFA,HOTOSM/OSM,12.383961,-1.544934,,,private
Ecole maternelle primaire EL-OLAM,school,Burkina Faso,BFA,HOTOSM/OSM,12.3748,-1.540566,,,private
"Les Tout-Petits ""B""",school,Burkina Faso,BFA,HOTOSM/OSM,12.385237,-1.539049,,,private
Ecole fraco arabe Sadakatou Al Islamiya,school,Burkina Faso,BFA,HOTOSM/OSM,12.384012,-1.534363,,,private
Boblawendé,school,Burkina Faso,BFA,HOTOSM/OSM,12.373696,-1.551274,,,private
Lycée privé Noureine,school,Burkina Faso,BFA,HOTOSM/OSM,12.371254,-1.557902,,,private
Collège de l'avenir Saint Michel de Ouaga,school,Burkina Faso,BFA,HOTOSM/OSM,12.373662,-1.544975,,,private
Groupe Scolaire la Roseraie,school,Burkina Faso,BFA,HOTOSM/OSM,12.348394,-1.531298,,,private
Ecole primaire de Todiam,school,Burkina Faso,BFA,HOTOSM/OSM,13.690069,-2.143808,school,,
Ecole Supérieure des Techniques Avancées,college,Burkina Faso,BFA,HOTOSM/OSM,12.394456,-1.502312,,,private
