Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Syria,Rural Damascus,Al Qutayfah,SYR,SY0303,SY03,August,2019,0,0
Syria,Aleppo,Jarablus,SYR,SY0208,SY02,August,2019,3,3
Syria,Homs,Homs,SYR,SY0401,SY04,August,2019,2,32
Syria,Rural Damascus,An Nabk,SYR,SY0306,SY03,August,2019,0,0
Syria,Al Hasakeh,Quamishli,SYR,SY0802,SY08,August,2019,9,13
Syria,Deir ez Zor,Deir ez Zor,SYR,SY0901,SY09,August,2019,27,13
Syria,Hama,As Suqaylabiyah,SYR,SY0502,SY05,August,2019,181,124
Syria,Idleb,Harim,SYR,SY0703,SY07,August,2019,12,10
Syria,Aleppo,Menbij,SYR,SY0205,SY02,August,2019,2,1
Syria,Homs,Tadmor,SYR,SY0405,SY04,August,2019,0,0
Syria,Rural Damascus,Yabroud,SYR,SY0305,SY03,August,2019,0,0
Syria,Lattakia,Al Qardaha,SYR,SY0604,SY06,August,2019,1,3
Syria,Homs,Al Makhrim,SYR,SY0406,SY04,August,2019,0,0
Syria,Ar Raqqa,Ar Raqqa,SYR,SY1101,SY11,August,2019,16,9
Syria,Tartous,Sheikh Badr,SYR,SY1005,SY10,August,2019,0,0
Syria,Quneitra,Al Fiq,SYR,SY1402,SY14,August,2019,0,0
Syria,Aleppo,Jebel Saman,SYR,SY0200,SY02,August,2019,54,15
Syria,Homs,Al Qusayr,SYR,SY0402,SY04,August,2019,0,0
Syria,Aleppo,Afrin,SYR,SY0203,SY02,August,2019,26,11
Syria,As Sweida,Shahba,SYR,SY1303,SY13,August,2019,2,0
Syria,Aleppo,Ain Al Arab,SYR,SY0206,SY02,August,2019,2,1
Syria,Al Hasakeh,Al Hasakeh,SYR,SY0800,SY08,August,2019,39,39
Syria,Idleb,Jisr Ash Shugur,SYR,SY0704,SY07,August,2019,25,33
Syria,Idleb,Idleb,SYR,SY0700,SY07,August,2019,46,73
Syria,Rural Damascus,Rural Damascus,SYR,SY0301,SY03,August,2019,2,6
Syria,Damascus,Damascus,SYR,SY0100,SY01,August,2019,2,1
Syria,Al Hasakeh,Ras Al Ain,SYR,SY0804,SY08,August,2019,8,12
Syria,Idleb,Ariha,SYR,SY0705,SY07,August,2019,29,13
Syria,Hama,Hama,SYR,SY0501,SY05,August,2019,37,27
Syria,Aleppo,Azaz,SYR,SY0204,SY02,August,2019,52,57
Syria,Aleppo,Al Bab,SYR,SY0202,SY02,August,2019,20,33
Syria,Ar Raqqa,Tell Abiad,SYR,SY1102,SY11,August,2019,2,1
Syria,Lattakia,Lattakia,SYR,SY0600,SY06,August,2019,10,14
