Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Venezuela,Sucre,Andres Eloy Blanco,VEN,VE1901,VE19,January,2018,0,0
Venezuela,Zulia,Almirante Padilla,VEN,VE2301,VE23,January,2018,0,0
Venezuela,Sucre,Cruz Salmeron Acosta,VEN,VE1908,VE19,January,2018,0,0
Venezuela,Cojedes,Ezequiel Zamora,VEN,VE0908,VE09,January,2018,0,0
Venezuela,Merida,Libertador,VEN,VE1412,VE14,January,2018,0,0
Venezuela,Aragua,San Casimiro,VEN,VE0509,VE05,January,2018,0,0
Venezuela,Miranda,Buroz,VEN,VE1505,VE15,January,2018,1,5
Venezuela,Monagas,Maturin,VEN,VE1608,VE16,January,2018,2,1
Venezuela,Merida,Rivas Davila,VEN,VE1418,VE14,January,2018,0,0
Venezuela,Barinas,Rojas,VEN,VE0610,VE06,January,2018,0,0
Venezuela,Carabobo,Valencia,VEN,VE0814,VE08,January,2018,2,2
Venezuela,Guarico,Jose Tadeo Monagas,VEN,VE1209,VE12,January,2018,0,0
Venezuela,Falcon,Miranda,VEN,VE1114,VE11,January,2018,0,0
Venezuela,Barinas,Barinas,VEN,VE0604,VE06,January,2018,0,0
Venezuela,Sucre,Andres Mata,VEN,VE1902,VE19,January,2018,0,0
Venezuela,Merida,Guaraque,VEN,VE1409,VE14,January,2018,0,0
Venezuela,Portuguesa,San Rafael de Onoto,VEN,VE1811,VE18,January,2018,0,0
Venezuela,Falcon,Mauroa,VEN,VE1113,VE11,January,2018,0,0
Venezuela,Falcon,Palmasola,VEN,VE1116,VE11,January,2018,0,0
Venezuela,Lara,Crespo,VEN,VE1302,VE13,January,2018,0,0
Venezuela,Barinas,Arismendi,VEN,VE0603,VE06,January,2018,0,0
Venezuela,Guarico,Pedro Zaraza,VEN,VE1215,VE12,January,2018,0,0
Venezuela,Merida,Alberto Adriani,VEN,VE1401,VE14,January,2018,0,0
Venezuela,Apure,Munoz,VEN,VE0403,VE04,January,2018,0,0
Venezuela,Amazonas,Atabapo,VEN,VE0202,VE02,January,2018,0,0
Venezuela,Merida,Rangel,VEN,VE1417,VE14,January,2018,0,0
Venezuela,Tachira,Fernandez Feo,VEN,VE2007,VE20,January,2018,0,0
Venezuela,Monagas,Aguasay,VEN,VE1602,VE16,January,2018,0,0
Venezuela,Anzoategui,Turistico Diego Bautista Urbaneja,VEN,VE0321,VE03,January,2018,0,0
Venezuela,Barinas,Bolivar,VEN,VE0605,VE06,January,2018,0,0
Venezuela,Guarico,San Jose de Guaribe,VEN,VE1213,VE12,January,2018,0,0
Venezuela,Lara,Palavecino,VEN,VE1306,VE13,January,2018,0,0
Venezuela,Aragua,Sucre,VEN,VE0513,VE05,January,2018,0,0
Venezuela,Aragua,Santiago Marino,VEN,VE0511,VE05,January,2018,0,0
Venezuela,Carabobo,Bejuma,VEN,VE0801,VE08,January,2018,0,0
Venezuela,Trujillo,Bolivar,VEN,VE2103,VE21,January,2018,0,0
Venezuela,Aragua,Zamora,VEN,VE0516,VE05,January,2018,1,0
Venezuela,Zulia,Simon Bolivar,VEN,VE2319,VE23,January,2018,0,0
Venezuela,Apure,Pedro Camejo,VEN,VE0405,VE04,January,2018,0,0
Venezuela,Aragua,Tovar,VEN,VE0514,VE05,January,2018,0,0
Venezuela,Bolivar,Roscio,VEN,VE0708,VE07,January,2018,1,1
