Country,Month,Year,Events,Fatalities
South Africa,July,2013,6,5
South Africa,August,2013,7,4
South Africa,September,2013,18,2
South Africa,October,2013,10,8
South Africa,November,2013,14,11
South Africa,December,2013,5,2
South Africa,January,2014,8,9
South Africa,February,2014,15,9
South Africa,March,2014,11,5
South Africa,April,2014,21,12
South Africa,May,2014,35,25
South Africa,June,2014,14,13
South Africa,July,2014,21,7
South Africa,August,2014,24,11
South Africa,September,2014,26,9
South Africa,October,2014,18,8
South Africa,November,2014,19,7
South Africa,December,2014,17,15
South Africa,January,2015,38,25
South Africa,February,2015,23,9
South Africa,March,2015,25,11
South Africa,April,2015,77,36
South Africa,May,2015,25,11
South Africa,June,2015,25,15
South Africa,July,2015,30,13
South Africa,August,2015,22,9
South Africa,September,2015,25,24
South Africa,October,2015,31,23
South Africa,November,2015,20,10
South Africa,December,2015,19,17
South Africa,January,2016,22,8
South Africa,February,2016,20,15
South Africa,March,2016,24,12
South Africa,April,2016,21,10
South Africa,May,2016,20,11
South Africa,June,2016,27,14
South Africa,July,2016,13,9
South Africa,August,2016,15,9
South Africa,September,2016,10,1
South Africa,October,2016,8,7
South Africa,November,2016,13,6
South Africa,December,2016,15,17
South Africa,January,2017,9,12
South Africa,February,2017,17,6
South Africa,March,2017,13,20
South Africa,April,2017,11,8
South Africa,May,2017,14,5
South Africa,June,2017,10,2
South Africa,July,2017,14,15
South Africa,August,2017,15,9
South Africa,September,2017,12,11
South Africa,October,2017,14,8
South Africa,November,2017,14,9
South Africa,December,2017,5,2
South Africa,January,2018,20,6
South Africa,February,2018,5,3
South Africa,March,2018,12,6
South Africa,April,2018,13,12
South Africa,May,2018,16,9
South Africa,June,2018,11,7
South Africa,July,2018,21,17
South Africa,August,2018,21,16
South Africa,September,2018,14,5
South Africa,October,2018,16,8
South Africa,November,2018,6,2
South Africa,December,2018,8,14
South Africa,January,2019,22,22
South Africa,February,2019,14,16
South Africa,March,2019,17,7
South Africa,April,2019,12,7
South Africa,May,2019,13,16
South Africa,June,2019,14,7
South Africa,July,2019,24,19
South Africa,August,2019,29,22
South Africa,September,2019,24,18
South Africa,October,2019,14,16
South Africa,November,2019,18,12
South Africa,December,2019,15,22
South Africa,January,2020,16,14
South Africa,February,2020,19,15
South Africa,March,2020,25,12
South Africa,April,2020,30,18
South Africa,May,2020,22,12
South Africa,June,2020,20,11
South Africa,July,2020,24,20
South Africa,August,2020,21,21
South Africa,September,2020,22,19
South Africa,October,2020,27,13
South Africa,November,2020,23,9
South Africa,December,2020,17,11
South Africa,January,2021,29,14
South Africa,February,2021,32,26
South Africa,March,2021,31,17
South Africa,April,2021,32,32
South Africa,May,2021,27,29
South Africa,June,2021,29,9
South Africa,July,2021,32,36
South Africa,August,2021,27,19
South Africa,September,2021,22,26
South Africa,October,2021,39,23
South Africa,November,2021,38,31
South Africa,December,2021,20,16
South Africa,January,2022,38,26
South Africa,February,2022,44,33
South Africa,March,2022,31,14
South Africa,April,2022,34,25
South Africa,May,2022,30,14
South Africa,June,2022,47,35
South Africa,July,2022,49,27
South Africa,August,2022,31,24
South Africa,September,2022,49,29
South Africa,October,2022,29,19
South Africa,November,2022,30,15
South Africa,December,2022,20,16
South Africa,January,2023,39,25
South Africa,February,2023,41,29
South Africa,March,2023,25,13
South Africa,April,2023,34,28
South Africa,May,2023,24,16
South Africa,June,2023,32,27
South Africa,July,2023,38,24
South Africa,August,2023,40,33
South Africa,September,2023,36,19
South Africa,October,2023,30,27
South Africa,November,2023,40,28
South Africa,December,2023,26,33
South Africa,January,2024,42,53
South Africa,February,2024,48,29
South Africa,March,2024,34,21
South Africa,April,2024,34,21
South Africa,May,2024,25,13
South Africa,June,2024,35,20
South Africa,July,2024,41,26
South Africa,August,2024,41,25
South Africa,September,2024,35,19
South Africa,October,2024,34,16
South Africa,November,2024,30,21
South Africa,December,2024,21,18
South Africa,January,2025,20,20
South Africa,February,2025,25,19
South Africa,March,2025,13,7
South Africa,April,2025,13,10
South Africa,May,2025,23,15
South Africa,June,2025,29,24
South Africa,July,2025,11,7
South Africa,August,2025,16,13
South Africa,September,2025,12,15
South Africa,October,2025,12,7
South Africa,November,2025,13,14
South Africa,December,2025,12,9
South Africa,January,2026,14,11
South Africa,February,2026,24,15
South Africa,March,2026,14,6
South Africa,April,2026,11,9
South Africa,May,2026,9,6
