Country,Month,Year,Events,Fatalities
China,January,2018,73,5
China,February,2018,76,0
China,March,2018,182,5
China,April,2018,76,4
China,May,2018,67,2
China,June,2018,58,6
China,July,2018,48,1
China,August,2018,55,4
China,September,2018,40,2
China,October,2018,34,1
China,November,2018,51,0
China,December,2018,32,11
China,January,2019,29,2
China,February,2019,64,1
China,March,2019,149,2
China,April,2019,50,1
China,May,2019,42,1
China,June,2019,21,0
China,July,2019,36,2
China,August,2019,30,1
China,September,2019,63,1
China,October,2019,46,2
China,November,2019,25,1
China,December,2019,26,0
China,January,2020,21,0
China,February,2020,23,0
China,March,2020,22,1
China,April,2020,14,0
China,May,2020,61,0
China,June,2020,31,1
China,July,2020,17,0
China,August,2020,29,2
China,September,2020,14,0
China,October,2020,34,1
China,November,2020,16,2
China,December,2020,16,2
China,January,2021,18,0
China,February,2021,19,1
China,March,2021,42,6
China,April,2021,24,2
China,May,2021,33,1
China,June,2021,59,0
China,July,2021,18,1
China,August,2021,22,1
China,September,2021,25,1
China,October,2021,25,0
China,November,2021,25,0
China,December,2021,19,0
China,January,2022,14,1
China,February,2022,18,1
China,March,2022,23,1
China,April,2022,17,0
China,May,2022,24,0
China,June,2022,24,1
China,July,2022,12,0
China,August,2022,20,1
China,September,2022,27,1
China,October,2022,15,0
China,November,2022,13,0
China,December,2022,8,0
China,January,2023,10,6
China,February,2023,16,0
China,March,2023,15,0
China,April,2023,10,0
China,May,2023,16,1
China,June,2023,18,0
China,July,2023,10,0
China,August,2023,6,0
China,September,2023,20,0
China,October,2023,12,0
China,November,2023,16,2
China,December,2023,12,0
China,January,2024,19,2
China,February,2024,30,0
China,March,2024,23,2
China,April,2024,16,0
China,May,2024,17,2
China,June,2024,20,0
China,July,2024,15,0
China,August,2024,16,1
China,September,2024,18,1
China,October,2024,16,1
China,November,2024,12,0
China,December,2024,10,0
China,January,2025,11,0
China,February,2025,11,0
China,March,2025,30,0
China,April,2025,10,0
China,May,2025,16,0
China,June,2025,6,0
China,July,2025,21,1
China,August,2025,19,0
China,September,2025,10,0
China,October,2025,24,0
China,November,2025,7,0
China,December,2025,11,1
China,January,2026,16,0
China,February,2026,12,0
China,March,2026,29,0
China,April,2026,11,0
China,May,2026,4,0
