Country,Month,Year,Events,Fatalities
Kenya,December,2015,20,46
Kenya,January,2016,9,19
Kenya,February,2016,7,14
Kenya,March,2016,6,2
Kenya,April,2016,2,1
Kenya,May,2016,10,17
Kenya,June,2016,19,43
Kenya,July,2016,18,37
Kenya,August,2016,20,14
Kenya,September,2016,11,22
Kenya,October,2016,14,25
Kenya,November,2016,14,17
Kenya,December,2016,21,28
Kenya,January,2017,17,24
Kenya,February,2017,31,46
Kenya,March,2017,40,71
Kenya,April,2017,64,61
Kenya,May,2017,52,88
Kenya,June,2017,38,63
Kenya,July,2017,46,91
Kenya,August,2017,74,82
Kenya,September,2017,22,37
Kenya,October,2017,74,46
Kenya,November,2017,24,66
Kenya,December,2017,11,22
Kenya,January,2018,29,49
Kenya,February,2018,29,40
Kenya,March,2018,11,26
Kenya,April,2018,22,22
Kenya,May,2018,27,35
Kenya,June,2018,27,20
Kenya,July,2018,35,19
Kenya,August,2018,25,28
Kenya,September,2018,69,106
Kenya,October,2018,31,45
Kenya,November,2018,46,39
Kenya,December,2018,30,26
Kenya,January,2019,33,50
Kenya,February,2019,17,23
Kenya,March,2019,17,22
Kenya,April,2019,23,25
Kenya,May,2019,21,39
Kenya,June,2019,19,31
Kenya,July,2019,14,11
Kenya,August,2019,12,17
Kenya,September,2019,34,44
Kenya,October,2019,27,36
Kenya,November,2019,23,31
Kenya,December,2019,38,52
Kenya,January,2020,30,35
Kenya,February,2020,26,28
Kenya,March,2020,34,44
Kenya,April,2020,35,33
Kenya,May,2020,36,39
Kenya,June,2020,23,30
Kenya,July,2020,30,21
Kenya,August,2020,20,14
Kenya,September,2020,19,40
Kenya,October,2020,24,14
Kenya,November,2020,29,32
Kenya,December,2020,20,23
Kenya,January,2021,42,56
Kenya,February,2021,10,3
Kenya,March,2021,15,13
Kenya,April,2021,11,13
Kenya,May,2021,31,38
Kenya,June,2021,32,66
Kenya,July,2021,37,69
Kenya,August,2021,29,20
Kenya,September,2021,45,30
Kenya,October,2021,43,63
Kenya,November,2021,44,61
Kenya,December,2021,53,54
Kenya,January,2022,69,103
Kenya,February,2022,79,87
Kenya,March,2022,99,92
Kenya,April,2022,80,39
Kenya,May,2022,68,32
Kenya,June,2022,86,48
Kenya,July,2022,104,44
Kenya,August,2022,108,33
Kenya,September,2022,54,47
Kenya,October,2022,76,41
Kenya,November,2022,101,57
Kenya,December,2022,72,61
Kenya,January,2023,92,96
Kenya,February,2023,91,113
Kenya,March,2023,103,78
Kenya,April,2023,92,53
Kenya,May,2023,93,65
Kenya,June,2023,112,88
Kenya,July,2023,86,89
Kenya,August,2023,91,119
Kenya,September,2023,107,107
Kenya,October,2023,88,49
Kenya,November,2023,76,58
Kenya,December,2023,77,59
Kenya,January,2024,76,54
Kenya,February,2024,91,53
Kenya,March,2024,113,93
Kenya,April,2024,64,40
Kenya,May,2024,85,47
Kenya,June,2024,85,60
Kenya,July,2024,96,75
Kenya,August,2024,87,61
Kenya,September,2024,133,81
Kenya,October,2024,93,76
Kenya,November,2024,88,38
Kenya,December,2024,75,36
Kenya,January,2025,91,56
Kenya,February,2025,82,91
Kenya,March,2025,127,75
Kenya,April,2025,102,69
Kenya,May,2025,97,55
Kenya,June,2025,175,103
Kenya,July,2025,136,93
Kenya,August,2025,100,59
Kenya,September,2025,127,70
Kenya,October,2025,100,74
Kenya,November,2025,127,61
Kenya,December,2025,108,86
Kenya,January,2026,135,109
Kenya,February,2026,105,53
Kenya,March,2026,101,70
Kenya,April,2026,79,52
Kenya,May,2026,52,26
