Country,Month,Year,Events,Fatalities
Sri Lanka,August,2023,2,0
Sri Lanka,September,2023,4,0
Sri Lanka,October,2023,3,0
Sri Lanka,November,2023,9,3
Sri Lanka,December,2023,10,2
Sri Lanka,January,2024,3,1
Sri Lanka,February,2024,3,1
Sri Lanka,March,2024,4,0
Sri Lanka,April,2024,3,0
Sri Lanka,May,2024,0,0
Sri Lanka,June,2024,1,0
Sri Lanka,July,2024,5,1
Sri Lanka,August,2024,4,0
Sri Lanka,September,2024,12,2
Sri Lanka,October,2024,7,0
Sri Lanka,November,2024,12,0
Sri Lanka,December,2024,2,0
Sri Lanka,January,2025,6,0
Sri Lanka,February,2025,7,0
Sri Lanka,March,2025,2,0
Sri Lanka,April,2025,6,2
Sri Lanka,May,2025,6,0
Sri Lanka,June,2025,12,1
Sri Lanka,July,2025,5,0
Sri Lanka,August,2025,6,4
Sri Lanka,September,2025,3,0
Sri Lanka,October,2025,3,1
Sri Lanka,November,2025,4,0
Sri Lanka,December,2025,7,1
Sri Lanka,January,2026,6,0
Sri Lanka,February,2026,3,3
Sri Lanka,March,2026,0,0
Sri Lanka,April,2026,2,0
Sri Lanka,May,2026,0,0
