Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities,Latitude,Longitude
Cameroon,Est,Haut-Nyong,CMR,CM003002,CM00,January,1997,0,0,3.3680856,13.5385805
Cameroon,Sud,Mvila,CMR,CM009002,CM00,January,1997,0,0,2.742146,11.4217695
Cameroon,Sud-Ouest,Lebialem,CMR,CM010003,CM01,January,1997,0,0,5.5592295,9.9131251
Cameroon,Adamaoua,Mayo-Banyo,CMR,CM001003,CM00,January,1997,0,0,6.6161625,11.7830925
Cameroon,Centre,Mbam-et-Kim,CMR,CM002004,CM00,January,1997,0,0,5.3047064,11.9590271
Cameroon,Sud-Ouest,Ndian,CMR,CM010006,CM01,January,1997,0,0,4.7252727,8.8862236
Cameroon,Sud-Ouest,Kupe-Manenguba,CMR,CM010002,CM01,January,1997,0,0,5.0577606,9.2289407
Cameroon,Nord,Benoue,CMR,CM006001,CM00,January,1997,0,0,9.1775586,13.4378888
Cameroon,Nord,Mayo-Louti,CMR,CM006003,CM00,January,1997,0,0,9.9125521,13.8857721
Cameroon,Centre,Mefou-et-Afamba,CMR,CM002005,CM00,January,1997,0,0,3.9342711,11.7912111
Cameroon,Littoral,Nkam,CMR,CM005002,CM00,January,1997,0,0,4.586768,10.0845612
Cameroon,Nord,Faro,CMR,CM006002,CM00,January,1997,0,0,8.4125462,12.8246575
Cameroon,Est,Boumba-et-Ngoko,CMR,CM003001,CM00,January,1997,0,0,2.8374746,15.2071481
Cameroon,Ouest,Menoua,CMR,CM008005,CM00,January,1997,0,0,5.4068206,10.1132808
Cameroon,Centre,Mbam-et-Inoubou,CMR,CM002003,CM00,January,1997,0,0,4.7249043,10.9418227
Cameroon,Ouest,Mifi,CMR,CM008006,CM00,January,1997,0,0,5.5143878,10.4560864
Cameroon,Nord-Ouest,Donga-Mantung,CMR,CM007003,CM00,January,1997,0,0,6.6848457,10.7720837
Cameroon,Nord-Ouest,Bui,CMR,CM007002,CM00,January,1997,0,0,6.2280285,10.7153053
Cameroon,Extreme-Nord,Mayo-Tsanaga,CMR,CM004006,CM00,January,1997,0,0,10.6054649,13.8012824
Cameroon,Centre,Nyong-et-So'o,CMR,CM002010,CM00,January,1997,0,0,3.4666101,11.6722281
Cameroon,Adamaoua,Djerem,CMR,CM001001,CM00,January,1997,0,0,6.5303568,12.7386135
Cameroon,Centre,Mefou-et-Akono,CMR,CM002006,CM00,January,1997,0,0,3.6117039,11.3666846
Cameroon,Centre,Nyong-et-Mfoumou,CMR,CM002009,CM00,January,1997,0,0,4.686267,11.9414512
