Country,Admin1,Admin2,ISO3,Admin2 Pcode,Admin1 Pcode,Month,Year,Events,Fatalities
Ukraine,Sumy,Sumskyi,UKR,UA5908,UA59,January,2018,0,0
Ukraine,Kherson,Henicheskyi,UKR,UA6504,UA65,January,2018,0,0
Ukraine,Zakarpattia,Tiachivskyi,UKR,UA2108,UA21,January,2018,0,0
Ukraine,Lviv,Zolochivskyi,UKR,UA4604,UA46,January,2018,0,0
Ukraine,Ivano-Frankivsk,Kaluskyi,UKR,UA2606,UA26,January,2018,0,0
Ukraine,Vinnytsia,Vinnytskyi,UKR,UA0502,UA05,January,2018,0,0
Ukraine,Odesa,Rozdilnianskyi,UKR,UA5114,UA51,January,2018,0,0
Ukraine,Lviv,Chervonohradskyi,UKR,UA4612,UA46,January,2018,0,0
Ukraine,Dnipropetrovsk,Pavlohradskyi,UKR,UA1212,UA12,January,2018,0,0
Ukraine,Luhansk,Starobilskyi,UKR,UA4414,UA44,January,2018,1,0
Ukraine,Luhansk,Dovzhanskyi,UKR,UA4404,UA44,January,2018,0,0
Ukraine,Dnipropetrovsk,Dniprovskyi,UKR,UA1202,UA12,January,2018,1,0
Ukraine,Luhansk,Alchevskyi,UKR,UA4402,UA44,January,2018,40,0
Ukraine,Kyiv,Brovarskyi,UKR,UA3206,UA32,January,2018,0,0
Ukraine,Kherson,Skadovskyi,UKR,UA6508,UA65,January,2018,0,0
Ukraine,Dnipropetrovsk,Kryvorizkyi,UKR,UA1206,UA12,January,2018,0,0
Ukraine,Khmelnytskyi,Khmelnytskyi,UKR,UA6804,UA68,January,2018,0,0
Ukraine,Odesa,Bilhorod-Dnistrovskyi,UKR,UA5104,UA51,January,2018,1,0
Ukraine,Volyn,Kamin-Kashyrskyi,UKR,UA0704,UA07,January,2018,0,0
Ukraine,Crimea,Perekopskyi,UKR,UA0114,UA01,January,2018,0,0
Ukraine,Cherkasy,Umanskyi,UKR,UA7106,UA71,January,2018,0,0
Ukraine,Donetsk,Kalmiuskyi,UKR,UA1410,UA14,January,2018,51,2
Ukraine,Dnipropetrovsk,Novomoskovskyi,UKR,UA1210,UA12,January,2018,0,0
Ukraine,Mykolaiv,Bashtanskyi,UKR,UA4802,UA48,January,2018,0,0
Ukraine,Poltava,Lubenskyi,UKR,UA5304,UA53,January,2018,0,0
